artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,duration,release_day,release_month,release_year
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,=,32iAEBstCjauDhyKpGjTuq,2021-10-29,0 days 00:03:27.853000,83,False,0.788,0.859,D,-2.724,Major,0.0856,0.281,0.0,0.0424,0.822,141.02,4,,03:27,Friday,October,2021
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:04:23.400000,85,False,0.599,0.448,G#/Ab,-6.312,Major,0.0232,0.163,0.0,0.106,0.168,95.05,3,,04:23,Friday,March,2017
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,32iAEBstCjauDhyKpGjTuq,2021-10-29,0 days 00:03:50.747000,83,False,0.807,0.893,B,-3.745,Minor,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,,03:50,Friday,October,2021
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:03:53.713000,83,False,0.825,0.652,C#/Db,-3.183,Minor,0.0802,0.581,0.0,0.0931,0.931,95.977,4,,03:53,Friday,March,2017
Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:04:41.560000,80,False,0.781,0.445,D,-6.061,Major,0.0295,0.474,0.0,0.184,0.591,78.998,4,,04:41,Saturday,June,2014
Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:04:18.987000,82,False,0.614,0.379,E,-10.48,Major,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,,04:18,Saturday,June,2014
Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:04:21.154000,76,False,0.461,0.834,D,-4.868,Major,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4,,04:21,Friday,March,2017
Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:03:27.520000,76,False,0.522,0.385,C,-7.355,Major,0.0288,0.536,0.0,0.135,0.236,89.792,4,,03:27,Friday,March,2017
Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:02:50.827000,76,False,0.624,0.876,A,-3.374,Major,0.1,0.0735,0.0,0.327,0.781,99.943,4,,02:50,Friday,March,2017
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,2019-07-12,0 days 00:03:24.467000,72,False,0.857,0.621,A,-6.376,Minor,0.0825,0.148,0.0,0.0865,0.668,97.989,4,"Camila Cabello, Cardi B",03:24,Friday,July,2019
Ed Sheeran,The A Team,1VdZ0vKfR5jneCmWIUAMxK,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,0 days 00:04:18.373000,71,False,0.642,0.289,A,-9.918,Major,0.0367,0.669,0.0,0.18,0.407,84.996,4,,04:18,Friday,September,2011
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),52kvZcbEDm0v2kWZQXjuuA,2017-11-30,0 days 00:04:19.550000,69,False,0.587,0.299,G#/Ab,-7.365,Major,0.0263,0.779,0.0,0.123,0.356,94.992,3,Beyoncé,04:19,Thursday,November,2017
Ed Sheeran,Supermarket Flowers,4VuS959DSpr82t3qBqCrWG,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:03:41.107000,72,False,0.589,0.242,F#/Gb,-10.517,Major,0.0442,0.914,0.0,0.0887,0.257,89.749,4,,03:41,Friday,March,2017
Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,2019-07-12,0 days 00:03:17.867000,70,False,0.64,0.647,F,-8.114,Minor,0.186,0.124,0.0,0.0801,0.546,92.979,4,Khalid,03:17,Friday,July,2019
Ed Sheeran,F64,5DFi6D7SrYHRIgZbY5MqqE,F64,5SNPs8Oz8Nmhv0MA6YnJpE,2023-01-19,0 days 00:03:24.894000,72,True,0.751,0.618,F#/Gb,-6.643,Minor,0.324,0.596,0.0,0.129,0.707,93.728,4,,03:24,Thursday,January,2023
Ed Sheeran,Dive,51ChrwmUPDJvedPQnIU8Ls,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,0 days 00:03:58.440000,70,False,0.761,0.386,E,-6.158,Major,0.0399,0.355,0.0,0.0953,0.526,134.943,3,,03:58,Friday,March,2017
Ed Sheeran,Don't,1huvTbEYtgltjQRXzrNKGi,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:03:39.840000,69,False,0.806,0.608,C#/Db,-7.008,Major,0.0659,0.0113,0.0,0.635,0.849,95.049,4,,03:39,Saturday,June,2014
Ed Sheeran,Overpass Graffiti,4btFHqumCO31GksfuBLLv3,=,32iAEBstCjauDhyKpGjTuq,2021-10-29,0 days 00:03:56.907000,73,False,0.52,0.849,A,-3.794,Minor,0.186,0.00253,0.0,0.119,0.774,175.908,4,,03:56,Friday,October,2021
