artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_month,release_year
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,=,32iAEBstCjauDhyKpGjTuq,2021-10-29,83,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],October,2021
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,85,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,[],March,2017
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,32iAEBstCjauDhyKpGjTuq,2021-10-29,83,False,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[],October,2021
Ed Sheeran,Overpass Graffiti,7yhI6sdsgSGbj2Vmfqevhz,Piano in the Sky: Chilled Pop,0qfSwrI0AN6hWZam25Okhb,2023-02-23,4,False,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,[],February,2023
Ed Sheeran,Perfect,4oAhMSYRMl1SAv02GbG46I,The Words - Soft 10s,2heLXJ9F1z8P8ypjyale5D,2023-02-21,1,False,0.598,0.448,8,-6.312,1,0.0232,0.162,0.0,0.106,0.168,95.009,3,[],February,2023
Ed Sheeran,Tenerife Sea,1WTY0VL681yvPxvUuJ5GXY,Intimate Pop,65qTx2hiYqEvBu192EoV8H,2023-02-24,1,False,0.526,0.345,8,-10.497,1,0.0374,0.7,1.13e-05,0.105,0.357,121.877,4,[],February,2023
Ed Sheeran,2step,0LCrBWtUI00mGa6wKSA8MN,Best Collabs,1OEWR80pA4ZMuRJMvqC878,2023-02-23,0,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
Ed Sheeran,Noche de novela,5SxjEDljqUFpkw2UNMz7tB,Mega Pop Mix,2pxZyFVNAh8N7AlVfDJYFO,2023-02-22,0,False,0.522,0.585,7,-7.205,1,0.129,0.00208,0.0,0.0909,0.411,97.99,4,['Paulo Londra'],February,2023
Ed Sheeran,Overpass Graffiti,1QkYsNB4TA2NJwq4kykl8L,Hit It Up,3ReRqGIICTRYl9cGy5UNzL,2023-02-23,0,False,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,[],February,2023
Ed Sheeran,Shivers,5UuXHpsnE4KKPaVcD1P5JQ,All That Really Matters: Hits Now,2O6uwpC2iC6ZVaaCZpJ2Wy,2023-02-23,0,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],February,2023
Ed Sheeran,Noche de novela,7tgdYuyG7vyuQWwUJRAFuC,2022 Rewind,3wKJ0U1gF1yqbk9tLxz6j5,2023-02-22,0,False,0.522,0.585,7,-7.205,1,0.129,0.00208,0.0,0.0909,0.411,97.99,4,['Paulo Londra'],February,2023
Ed Sheeran,Afterglow,5PxY9vTrEwCBGT6q7HzsKo,Mellow 20s,2vVeh6l8dk8Peie2RDb8jF,2023-02-23,0,False,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,4,[],February,2023
Ed Sheeran,Photograph,3ATeaAvchVwa80bSg2fiF6,Love Like That - Feeling Blue,3mqe2Z1a4UjDYdxYZtXeCZ,2023-02-18,0,False,0.718,0.379,4,-10.48,1,0.0359,0.607,0.000472,0.0986,0.22,108.033,4,[],February,2023
Ed Sheeran,Shivers,4uM9KUjXSyNh5UFfh15Wmx,First Class 20s,6f87JQmTCh2YVi6s4PIk2z,2023-02-23,0,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],February,2023
Ed Sheeran,2step,2tPaLsNvvhiujSa2DNQYPB,Fresh Feelgood,4bEEJ8g4gM0h5B8x5x5Z3G,2023-02-22,0,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
Ed Sheeran,Shivers,4S5aNm0pCQq7CNK3Vuupmx,Party Hits 2022,0ajHhH8NZIN70vG1FJHyBn,2023-02-22,0,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],February,2023
Ed Sheeran,Noche de novela,43hGF58CRVjZ2Jj4ywj6BD,Some Reggaeton,2PjuFZDgSidw6xeaMgXwN3,2023-02-15,1,False,0.522,0.585,7,-7.205,1,0.129,0.00208,0.0,0.0909,0.411,97.99,4,['Paulo Londra'],February,2023
Ed Sheeran,Bad Habits,1BSKqkrzZQtIVPGCUSlNyF,Put on Repeat Hits,3WMcCf13jvVyhbmLnC0ZYR,2023-02-20,0,False,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,4,[],February,2023
Ed Sheeran,Bad Habits - Joel Corry Remix,5ARXPe0ZlBccFMXXXwRokv,Cardio Tracks,5x44inNwSmEwqawS7JHMor,2023-02-24,0,False,0.768,0.935,11,-4.902,0,0.0598,0.0488,0.00117,0.339,0.8,125.971,4,['Joel Corry'],February,2023
Ed Sheeran,2step,0AtZWxekv7WQE2CJeYuaQ7,Mega Hitmix,45lBytB2YOpizu1Y6vtunH,2023-02-23,1,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
Ed Sheeran,2step,0aE00jeo3bjsq87e4mYTxy,Pop Favourites,2XEX5evJ3mMLvagNSxJi3l,2023-02-22,0,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
Ed Sheeran,2step,5mtBMji5j6Ab4i5NI16oFz,Hot Rhythmic,4CONYniXv9OHDiV65lyY7J,2023-02-23,0,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
Ed Sheeran,The Joker and the Queen,3Q48ql6yhsss7NQZGpjqcI,Nights Like These - Chilled Pop,1I2pdH6bsTvHCsJM8IVdrA,2023-02-22,0,False,0.567,0.211,0,-9.975,1,0.0315,0.952,5.24e-05,0.275,0.289,134.019,4,[],February,2023
Ed Sheeran,Shivers,3g33yjtOX62RcZ8P4yQiut,Pop Hits 2022,44pshrPla7C4437yCOscb7,2023-02-21,0,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,[],February,2023
Ed Sheeran,2step,5c66htWUd29qinGMHHt0pc,New Jams,18ocbDQ6rBxceCRbeKlVbg,2023-02-23,1,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],February,2023
